Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1773,"1773.41444","Mycobacterium tuberculosis 714659","isoniazid","Susceptible","0.05",,"0.05","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42167","Mycobacterium tuberculosis 20804","levofloxacin","Resistant","8",,"8","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41406","Mycobacterium tuberculosis 713951","kanamycin","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1280,"1280.52142","Staphylococcus aureus WUSa_oxa_BOR340","oxacillin","Resistant","8",,"8","mg/L","MIC",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
1773,"1773.41930","Mycobacterium tuberculosis 725659","rifabutin","Susceptible","<=0.06","<=","0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42041","Mycobacterium tuberculosis 728530","moxifloxacin","Resistant","4",,"4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24552","Salmonella enterica JLS87","cefazolin","Resistant","8",,"8","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.41969","Mycobacterium tuberculosis 726777","levofloxacin","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24562","Salmonella enterica JLS94","cefoxitin","Susceptible","<2","<","2","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.40844","Mycobacterium tuberculosis 700013","delamanid","Resistant","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66397","Klebsiella pneumoniae 26994_8#116","amoxicillin/clavulanic acid","Resistant",">=32",">=","32","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
1773,"1773.40847","Mycobacterium tuberculosis 700136","moxifloxacin","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1280,"1280.52209","Staphylococcus aureus WUSa_oxa_MS022","oxacillin","Susceptible","2",,"2","mg/L","MIC",,,,"CLSI",2020,,,,"Laboratory Method",,"35038924"
571,"571.2027","Klebsiella oxytoca KXB10","ertapenem","Susceptible","<=1","<=","1","mg/L","MIC",,,"Beckman Coulter Inc",,,,,,"Laboratory Method",,"37676032"
1773,"1773.41498","Mycobacterium tuberculosis 715770","ethionamide","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42034","Mycobacterium tuberculosis 728320","isoniazid","Resistant",">1.6",">","1.6","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
28901,"28901.24485","Salmonella enterica B384_2019","cefazolin","Resistant","8",,"8","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
1773,"1773.40999","Mycobacterium tuberculosis 703443","amikacin","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41360","Mycobacterium tuberculosis 712907","moxifloxacin","Resistant","4",,"4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42183","Mycobacterium tuberculosis 727677","amikacin","Susceptible","<=0.25","<=","0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40679","Mycobacterium tuberculosis 632412","amikacin","Susceptible","0.5",,"0.5","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.43688","Mycobacterium tuberculosis 714909","bedaquiline","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41665","Mycobacterium tuberculosis 718004","ethambutol","Resistant","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41896","Mycobacterium tuberculosis 724777","bedaquiline","Susceptible","<=0.015","<=","0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42246","Mycobacterium tuberculosis 731881","linezolid","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.43724","Mycobacterium tuberculosis 732983","rifabutin","Resistant",">2",">","2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66391","Klebsiella pneumoniae 26994_8#38","ertapenem","Resistant",">=8",">=","8","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
1773,"1773.42246","Mycobacterium tuberculosis 731881","para-aminosalicylic acid","Susceptible","<=0.125","<=","0.125","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66315","Klebsiella pneumoniae 26975_5#179","cefuroxime","Resistant",">=64",">=","64","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
287,"287.34659","Pseudomonas aeruginosa F2003","ceftolozane/tazobactam","Resistant","8",,"8","mg/L","MIC",,,"Liofilchem","EUCAST",,,,,"Laboratory Method",,"36190424"
1773,"1773.41064","Mycobacterium tuberculosis 704882","ethambutol","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40649","Mycobacterium tuberculosis 628076","clofazimine","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41334","Mycobacterium tuberculosis 712086","rifabutin","Resistant",">2",">","2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41459","Mycobacterium tuberculosis 714916","amikacin","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41220","Mycobacterium tuberculosis 707147","isoniazid","Susceptible","0.025",,"0.025","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41061","Mycobacterium tuberculosis 704787","ethionamide","Susceptible","1",,"1","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41007","Mycobacterium tuberculosis 703510","para-aminosalicylic acid","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42264","Mycobacterium tuberculosis 732506","rifabutin","Resistant",">2",">","2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41430","Mycobacterium tuberculosis 714496","kanamycin","Susceptible","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41019","Mycobacterium tuberculosis 703717","bedaquiline","Susceptible","0.03",,"0.03","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.43718","Mycobacterium tuberculosis 730018","amikacin","Susceptible","<=0.25","<=","0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40681","Mycobacterium tuberculosis 632918","bedaquiline","Susceptible","0.03",,"0.03","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66304","Klebsiella pneumoniae 26975_5#39","cefotaxime","Resistant",">=64",">=","64","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
1773,"1773.40884","Mycobacterium tuberculosis 700891","clofazimine","Susceptible","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40817","Mycobacterium tuberculosis 633951","isoniazid","Resistant",">1.6",">","1.6","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41852","Mycobacterium tuberculosis 723498","para-aminosalicylic acid","Susceptible","0.25",,"0.25","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.40781","Mycobacterium tuberculosis 633080","moxifloxacin","Resistant","2",,"2","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.41523","Mycobacterium tuberculosis 716223","delamanid","Resistant","0.06",,"0.06","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
1773,"1773.42056","Mycobacterium tuberculosis 728779","delamanid","Susceptible","0.015",,"0.015","mg/L","MIC",,,,,,,,,"Laboratory Method",,"35989319"
573,"573.66379","Klebsiella pneumoniae 26994_7#157","amoxicillin/clavulanic acid","Resistant",">=32",">=","32","mg/L","MIC",,,"BioMerieux",,,,,,"Laboratory Method",,"36801013"
28901,"28901.24442","Salmonella enterica B188_2018","ceftazidime","Susceptible","<1","<","1","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
487,"487.4502","Neisseria meningitidis NIID485","ciprofloxacin","Susceptible","0.003",,"0.003","mg/L","MIC",,,"BioMerieux","CLSI",2020,,,,"Laboratory Method",,"37874301"
487,"487.4692","Neisseria meningitidis NIID631","minocycline","Susceptible","0.75",,"0.75","mg/L","MIC",,,"BioMerieux","CLSI",2020,,,,"Laboratory Method",,"37874301"
